Model,test_size,Accuracy,Recall,Precision,F1 Score
Logistic Regression RS 3 Train,0.2,0.6539778370184517,0.624457686477445,0.6636391411826792,0.6434525011782132
Logistic Regression RS 3 Test,0.2,0.6761177194421657,0.5916666666666667,0.03336988876703744,0.06317662761382174
